Source,Documents
ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,23
SENSORS,23
LECTURE NOTES IN NETWORKS AND SYSTEMS,19
IEEE ACCESS,17
LECTURE NOTES IN COMPUTER SCIENCE (INCLUDING SUBSERI...,12
PROCEEDINGS OF THE ACM ON INTERACTIVE MOBILE WEARABL...,11
APPLIED SCIENCES (SWITZERLAND),10
CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS - P...,10
ELECTRONICS (SWITZERLAND),10
PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR ...,10
UBICOMP/ISWC 2019- - ADJUNCT PROCEEDINGS OF THE 2019...,10
SENSORS (SWITZERLAND),9
COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,8
ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING,7
LECTURE NOTES IN COMPUTER SCIENCE,6
