item1,item2,n
time,real,90
real,time,90
real,audio,68
audio,real,68
time,audio,66
audio,time,66
impaired,visually,64
visually,impaired,64
user,audio,62
audio,user,62
ieee,audio,58
audio,ieee,58
ieee,time,55
time,ieee,55
technology,audio,54
recognition,audio,54
audio,technology,54
audio,recognition,54
people,audio,51
audio,people,51
visual,audio,50
audio,visual,50
ieee,real,50
people,impaired,50
real,ieee,50
impaired,people,50
impaired,audio,49
impaired,time,49
people,time,49
audio,impaired,49
time,impaired,49
time,people,49
visually,audio,48
audio,visually,48
detection,audio,46
audio,detection,46
speech,recognition,46
reality,augmented,46
recognition,speech,46
augmented,reality,46
recognition,time,45
people,visually,45
time,recognition,45
visually,people,45
impaired,real,44
visually,detection,44
detection,visually,44
real,impaired,44
people,ieee,44
ieee,people,44
